Country_code,electricity,residential non-elec,services non-elec,rail non-elec,road non-elec,domestic navigation,international navigation,domestic aviation,international aviation,industrial processes,agriculture,LULUCF,waste management,other,indirect,industrial non-elec
AL,0.146370528,0.24609539385,0.18324280334999998,0.06437850464999999,2.3897242590000003,0.14275103939999997,0.0,0.0,0.19403707155,,0.30551864625,,,,,0.46844343255
AT,12.94481596,9.032549209999999,3.24220458,0.1613351,24.15714542,0.015506180000000001,0.08036564,0.0666473,1.95983288,13.33049005,1.0730718000000001,-10.778270930000001,0.0124,0.0,0.0,13.116067800000012
BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
BE,24.47299943,21.035567070000003,6.2532043,0.12898981,25.5051463,0.49285184,25.219314490000002,0.0176609,3.56915156,20.78610934,2.62574754,-1.63694523,0.54473376,0.0,0.0,-4.989788690000001
BG,26.17465131,1.04780906,0.23079070999999998,0.09089847000000001,7.09761262,0.011313040000000002,0.3447873,0.04020456,0.5678794699999999,6.56882019,0.85816003,-12.76969059,0.05482625,0.0,0.0,7.568673619999994
CH,2.8537482,11.59435061,5.30270427,0.03466264,15.387591050000001,0.11152548,0.03674068,0.12428547000000001,3.48817969,2.37831758,0.78711931,-2.2036421500000003,0.012164020000000001,0.012373499999999999,0.12751054,3.6644724699999935
CZ,56.20957341,8.93771364,3.51072591,0.28647131000000003,16.72223004,0.01549764,0.0,0.00877656,0.97046904,12.39436053,1.4410732700000002,-7.42160844,0.12166648000000001,0.0,1.06645771,25.053383940000028
DE,332.86905032,110.96745248,40.03887708,1.3685606399999999,153.03894625,1.9482905000000001,7.108489690000001,2.23487072,23.00137999,52.248115899999995,8.13781331,-15.219596809999999,0.0,0.0,0.0,133.42670178999984
DK,20.189857319999998,3.64950004,1.05218627,0.23212055,12.34294847,0.72377009,2.35823773,0.14025706,2.56858378,1.7989749099999999,2.5159536,5.64023615,0.02022074,0.0,0.6695029100000001,3.902749329999999
EE,12.735284100000001,0.23642219,0.05893295,0.12964314,1.9502399700000002,0.02492013,0.36569011999999995,0.00467258,0.13664034,0.58477,0.21187743,-0.88552074,0.00145711,0.0,0.0,0.48107018999999857
ES,111.82376345,20.84690891,9.00218461,0.3106636,92.13649717,4.78613309,25.499548190000002,3.99710773,11.46421879,29.72089142,11.510992490000001,-38.9557843,0.00084141,0.0,0.0,48.39237388000003
FI,18.85052615,2.31513454,1.4872111,0.1279441,11.807845590000001,0.50442024,1.6141454000000002,0.30504347000000004,1.2901866,3.96738909,1.9019289799999999,-27.76890743,0.0,0.0,0.08746937,12.871122940000001
FR,49.55857398,65.56310926,32.734505829999996,0.63847387,132.60651334,1.27032742,8.78871363,4.89912555,15.74221442,29.782422030000003,13.68713709,-49.056567730000005,1.56478647,0.0,0.0,69.57656004000002
GB,173.26578895,82.40129111,23.25356435,1.87312221,118.26457248,7.42370852,8.86018015,2.69121132,34.75622253,21.55902128,6.84370313,-9.0931354,0.43893145,0.0,0.0,85.85509264000005
GR,54.31051928,9.960065720000001,1.5493019099999998,0.12815298000000003,18.68168516,2.0634951299999997,9.21460987,0.4978409,2.6004812999999998,9.5872319,2.73665874,-3.30820646,0.00197535,0.0,0.0,2.598948660000009
HR,4.72833928,2.4172691399999997,0.78925208,0.09652674,5.2326573,0.10064099,0.07981536,0.037695839999999994,0.25773748,2.5675452,0.77705572,-7.876342940000001,0.00016204,0.0,0.0,6.24540141
HU,18.34473129,11.13877997,5.27274971,0.20343109999999998,11.460268130000001,0.02636181,0.0,0.01118266,0.82366651,6.1561619499999995,1.38565276,-5.75833097,0.09834963000000001,0.0,0.0,5.6851918099999965
IE,15.13644776,7.06944073,2.41607642,0.12219927,12.35908036,0.20901355000000002,0.33024784,0.07951276,2.4870868799999997,2.7277362199999997,1.3328216800000001,4.99933279,0.12849588,0.0,0.0,3.7573757899999984
IT,114.63500453,59.971944,23.2337935,0.30609127999999997,117.10890726000001,5.45870093,6.8176249900000006,2.8309635400000004,8.49162076,28.77396947,8.975735939999998,-36.04273925,0.23015254,0.0,0.0,123.17116759999993
LT,3.8211446000000002,0.6347650300000001,0.34322986,0.22843726,3.83253285,0.01678354,0.45677409999999996,0.00394654,0.13891752,1.52831516,0.2376793,-4.62573629,0.0036008,0.0,0.0,2.8449493799999965
LU,1.23778719,1.20307144,0.41715823999999996,0.00888185,7.14081249,0.00142143,0.00014093,0.00061377,1.268748,0.6756924400000001,0.028868840000000003,-0.64314356,0.0,0.0,0.0,0.12225144000000182
LV,1.99149973,0.42291505,0.48940355,0.26044245,2.78290093,0.00066944,0.83263604,0.0031398899999999998,0.17875802999999998,0.25794887,0.380807,-5.06913514,0.00044483,0.0,0.021365739999999998,0.20511045999999897
ME,1.1088823536,0.02334141,0.011053152000000002,0.006761682,0.51153781605,0.0,0.0,0.0,0.0452436075,,0.006761682,,,,,0.39995366475000005
MK,5.820245595200001,0.15117627660000002,0.41750199730000004,0.006788198400000001,1.12606201515,0.0,0.0,0.0,0.020745768450000004,,0.0821631588,,,,,1.3213584994
NL,53.98985085,19.7626719,8.99242583,0.10296984,33.665541770000004,0.90538664,50.33443239,0.043985250000000004,10.91674734,7.0657705900000005,9.39697255,5.5314242,0.0,0.0,0.43823183,-17.717749830000017
NO,0.60608042,1.2831404,0.88791309,0.04966257,9.203179630000001,2.89679112,2.59678206,0.9642620500000001,0.90994586,7.50888046,1.2996203100000001,-25.719095969999998,0.00088512,,0.0,15.716013769999998
PL,170.31629454,34.390729379999996,7.70009084,0.5034354,34.45605278,0.02287229,1.0325263199999999,0.07886061,0.91107204,16.18311632,14.157962,-51.4128315,0.41400187,0.0,0.0,42.9942525
PT,22.88601788,2.3889204100000003,3.0246858299999997,0.08234618,19.01388642,0.20919627,1.55312208,0.38914287999999997,2.2795938500000004,6.64270242,1.33278897,0.08485926,0.01164072,0.0,0.21109540999999998,9.669938390000002
RO,33.2222877,7.24088335,2.51340691,0.22846866,11.70269527,0.12838435,0.0,0.18811702,0.37805966999999996,18.51727933,0.59449443,-22.72227505,0.08986804,,0.0,27.890528600000014
RS,32.006685980600004,2.4468132541000003,0.3620242224000001,0.0013062816,7.2393650023500005,0.0,0.0,0.0,0.1634006859,,0.0,,,,,7.0133481057000004
SE,7.980269959999999,2.31620889,1.22580694,0.06435639,19.12203282,0.57038963,6.633725279999999,0.6624289099999999,1.9357235700000002,6.50138626,1.8696824300000001,-33.91592383,0.09485267,,0.0,4.875992930000001
SI,6.417353019999999,1.5095593200000001,0.7173700599999999,0.037441220000000004,4.306775620000001,0.0,0.06811199999999999,0.00271352,0.0608877,1.07133086,0.25734821,-7.17256444,0.00327905,0.0,0.0,2.49595081
SK,8.6454484,3.67162916,2.2527579500000003,0.10457037,6.1597363,3.4660000000000004e-05,0.0006652400000000001,0.00779265,0.13943717,8.55441914,0.45833446,-5.781062520000001,0.00084616,0.0,0.0,12.91517924
XK,5.07574713285,0.09445717364999999,0.13712938815000003,0.0034040428499999996,0.8945440122000001,0.0,0.0,0.0,0.0,,0.043615291199999996,,,,,0.4502669637
